prodi_id,nama_prodi,jenjang
198,Antropologi Sosial,S1
199,Penyuluhan Pertanian,S1
200,Sastra Minangkabau,S1
201,Manajemen Sumber Daya Perairan,S1
202,RADIODIAGNOSTIK DAN RADIOTERAPI,D3
203,Kewirausahaan,S1
204,Pendidikan Guru Pendidikan Anak Usia Dini,S1
205,Pendidikan IPS,S1
206,Pendidikan Geografi,S1
207,Ilmu Kelautan,S1
208,Akuakultur,S1
209,Ekonomi,S1
210,KEDOKTERAN,S1
211,Teknologi Pendidikan,S1
212,Pendidikan Nonformal,S1
213,Sekretari,D3
214,Pendidikan Fisika,S1
215,Administrasi Perkantoran,D3
216,Jurnalistik,S1
217,Pendidikan Bahasa Indonesia,S1
218,Kesejahteraan Sosial,S1
219,Perpustakaan,D3
220,Perpustakaan Dan Sains Informasi,S1
221,Laboratorium Sains,D3
222,Bimbingan Dan Konseling,S1
223,Pendidikan Jasmani,S1
224,Pendidikan IPA,S1
225,Jurnalistik,D3
226,Pendidikan Kimia,S1
227,Pendidikan Kepelatihan Olah Raga,S1
228,Teknik Perminyakan,S1
229,Teknik Komputer,D3
230,Manajemen Perusahaan,D3
231,Komputerisasi Akuntansi,D3
232,Pendidikan Olahraga,S1
233,Destinasi Pariwisata,S1
234,Hubungan Internasional,S1
235,Film,S1
236,PJJ Teknik Informatika,S1
237,Sastra Cina,S1
238,Hubungan Masyarakat (Kampus Kota Malang),S1
239,PJJ Sistem Informasi,S1
240,Teknik Informatika (Kampus Kota Bandung),S1
241,PJJ Manajemen,S1
242,PJJ Teknik Industri,S1
243,Desain Interior (Kampus Kota Bandung),S1
244,Desain Komunikasi Visual (Kampus Kota Bandung),S1
245,Desain Interior (Kampus Kota Malang),S1
246,Desain Komunikasi Visual (Kampus Kota Malang),S1
247,Kewirausahaan (Kampus Kota Bandung),S1
248,Kewirausahaan (Kampus Kota Malang),S1
249,Teknik Informatika (Kampus Kota Malang),S1
250,PJJ Akuntansi,S1
251,Ilmu Komunikasi (Kampus Kota Malang),S1
252,Tekonologi Pangan,S1
253,PENDIDIKAN DOKTER,S1
254,Ilmu Dan Teknologi Pangan,S1
255,Teknologi Bioproses,S1
256,Administrasi Pendidikan,S1
257,Bahasa Dan Sastra Prancis,S1
258,Perpajakan,S1
259,Keuangan Dan Perbankan,D3
260,Ekonomi Islam,S1
261,Teknologi Informasi,D3
262,Pendidikan Teknologi Informasi,S1
263,Ilmu Perpustakaan,S1
264,Pendidikan Bahasa Jepang,S1
265,Pariwisata,S1
266,Agribisnis (Kampus Kota Kediri),S1
267,Antropologi,S1
268,Agroekoteknologi (Kampus Kota Kediri),S1
269,Sosial Ekonomi Perikanan (Kampus Kota Kediri),S1
270,Instrumentasi,S1
271,Peternakan (Kampus Kota Kediri),S1
272,Akuakultur (Kampus Kota Kediri),S1
273,Teknik Pengairan,S1
274,Teknik Perangkat Lunak,S1
275,Kriminologi,S1
276,Hospitality Dan Pariwisata,S1
277,Bahasa Mandarin,S1
278,Bahasa Inggris,S1
279,Pendidikan Teknik Informatika Dan Komputer,S1
280,Pendidikan Pancasila Dan Kewarganegaraan,S1
281,Teknik Ekonomi Konstruksi,D3
282,Ilmu Keolahragaan,S1
283,Manajemen Pendidikan,S1
284,Planologi,S1
285,Teknik Elektro,D3
286,Ilmu Kesejahteraan Sosial,S1
287,Manajemen Administrasi Perkantoran,S1
288,Ilmu Perikanan,S1
289,Ilmu Hubungan Masyarakat,S1
290,Teknologi Pertanian,S1
291,Bimbingan Konseling,S1
292,Tafsir Hadist,S1
293,Ilmu Sosiatri,S1
294,KEPERAWATAN,D3
295,Pendidikan Guru Pendidikan Anak  Usia Dini,S1
296,Pendidikan  Bahasa Inggris,S1
297,Pendidikan Bahasa Indonesia Dan Daerah,S1
298,FISIOTERAPI,S1
299,Bina Wisata,D3
300,Ekonomi Pertanian Dan Agribisnis,S1
301,Agronomi,S1
302,Arkeologi,S1
303,Bahasa Dan Kebudayaan Korea,S1
304,Teknik Geomatika,D3
305,Teknik Nuklir,S1
306,Teknologi Pangan Dan Hasil Pertanian,S1
307,Mikrobiologi Pertanian,S1
308,Geofisika,S1
309,Manajemen Sumberdaya Akuatik,S1
310,Ilmu Ekonomi,S1
311,Sejarah,S1
312,Sastra Jawa,S1
313,Sastra Arab,S1
314,Bahasa Dan Sastra Indonesia,S1
315,Pariwisata,D3
316,Teknologi Instrumentasi,D3
317,Filsafat,S1
318,Ilmu Dan Industri Peternakan,S1
319,Ilmu Komputer,S1
320,Kartografi Dan Penginderaan Jauh,S1
321,Pengelolaan Hutan,D3
322,Pembangunan Sosial Dan Kesejahteraan,S1
323,Elektronika Dan Instrumentasi,S1
324,Geografi Lingkungan,S1
325,Kearsipan,D3
326,Penginderaan Jauh Dan Sistem Informasi Geografi,D3
327,Pembangunan Wilayah,S1
328,Bahasa Korea,D3
329,Manajemen,D3
330,Ekonomika Terapan,D3
331,Manajemen Dan Kebijakan Publik,S1
332,Kesehatan Hewan,D3
333,Politik Dan Pemerintahan,S1
334,Komputer Dan Sistem Informasi,D3
335,Agroindustri,D3
336,Ilmu Aktuaria,S1
337,Sastra Prancis,S1
338,Teknik Infrastruktur Lingkungan,S1
339,Penyuluhan Dan Komunikasi Pertanian,S1
340,Teknik Biomedis,S1
341,Pendidikan Kepelatihan Olahraga,S1
342,Pendidikan Akuntansi,S1
343,Perikanan,S1
344,Nautika,D3
345,Teknika,D3
346,Ketatalaksanaan Pelayaran Niaga Dan Kepelabuhan,D3
347,Oseanologi,S1
348,Permesinan Kapal,D3
349,Manajemen Pelabuhan,D3
350,ILMU GIZI,S1
351,Ilmu Sejarah,S1
352,Hukum Administrasi Negara,S1
353,Sastra Daerah,S1
354,Bahasa Mandarin Dan Kebudayaan Tiongkok,S1
355,Sosial Ekonomi Perikanan,S1
356,Sastra Perancis,S1
357,Aktuaria,S1
358,Pendidikan Ilmu Pengetahuan Alam,S1
359,Pendidikan Bahasa Jerman,S1
360,Administrasi Perpajakan,D3
361,Manajemen Pengelolaan Sumberdaya Perairan,S1
362,Pendidikan Kewarganegaraan,S1
363,Pengolahan Hasil Perikanan,D3
364,Teknik Arsitektur,S1
365,Survei Dan Pemetaan,D3
366,GIZI,S1
367,Ilmu Filsafat,S1
368,Geografi,S1
369,Geologi,S1
370,Sastra Belanda,S1
371,Sastra Rusia,S1
372,Sastra Jerman,S1
373,Administrasi Keuangan Dan Perbankan,D3
374,Manajemen Informasi Dan Dokumen,D3
375,Hubungan Masyarakat,D3
376,Bisnis Islam,S1
377,Ilmu Administrasi Fiskal,S1
